fit_time,score_time,test_score,train_score
5.109007835388184,0.06883025169372559,0.4782243968871285,0.7925249230162871
7.115452766418457,0.07131695747375488,0.47434611678144945,0.7916930071698896
7.150760889053345,0.06947898864746094,0.503855264304744,0.7894537539013027
5.115063667297363,0.0818171501159668,0.47642637358154327,0.792940677260497
0.8690741062164307,0.06288504600524902,0.44589012656341576,0.7935000585198488
0.8043899536132812,0.05854916572570801,0.4792189023027239,0.791060224402081
0.580780029296875,0.055850982666015625,0.47069118727060755,0.7920377192470222
0.5296990871429443,0.05225801467895508,0.4846400598082432,0.7931793437737104
0.539682149887085,0.05217790603637695,0.46452009661506544,0.7923252710395865
0.5420329570770264,0.05187082290649414,0.5038659727296784,0.7905986178057394
